Time: 18/12:41:58 Arduino 0: 2
Time: 18/12:42:2 Arduino 0: 0: 286.88,1: 278.79,2: 270.70,3: 262.97,4: 255.23,5: 247.15,6: 238.71
Time: 18/12:42:2 Arduino 0: 0: 289.69,1: 281.60,2: 272.11,3: 265.43,4: 256.99,5: 248.20,6: 241.17
Time: 18/12:42:2 Arduino 0: 0: 292.50,1: 283.71,2: 275.27,3: 266.48,4: 258.40,5: 250.66,6: 242.23
Time: 18/12:42:2 Arduino 0: 0: 294.26,1: 286.52,2: 277.03,3: 269.65,4: 259.80,5: 252.07,6: 244.34
Time: 18/12:42:2 Arduino 0: 0: 295.66,1: 287.58,2: 279.14,3: 270.35,4: 262.27,5: 253.48,6: 245.74
Time: 18/12:42:2 Arduino 0: 0: 294.26,1: 285.12,2: 278.09,3: 270.70,4: 261.91,5: 254.18,6: 246.45
Time: 18/12:42:2 Arduino 0: 0: 271.76,1: 269.30,2: 266.13,3: 262.97,4: 257.34,5: 250.31,6: 244.34
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 259.80,2: 258.05,3: 255.23,4: 250.66,5: 246.09,6: 240.12
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 257.70,2: 252.77,3: 250.31,4: 246.45,5: 241.52,6: 237.66
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 256.64,2: 252.07,3: 247.15,4: 243.28,5: 239.06,6: 233.79
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 256.64,2: 250.66,3: 246.45,4: 241.17,5: 236.95,6: 232.73
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 256.99,2: 251.37,3: 245.39,4: 240.82,5: 235.90,6: 230.98
Time: 18/12:42:3 Arduino 0: 0: 261.21,1: 256.64,2: 251.02,3: 245.74,4: 239.77,5: 235.55,6: 230.63
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 256.99,2: 251.02,3: 245.39,4: 240.47,5: 234.14,6: 229.92
Time: 18/12:42:3 Arduino 0: 0: 261.21,1: 256.29,2: 251.02,3: 245.74,4: 239.77,5: 234.84,6: 229.22
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 256.64,2: 250.31,3: 245.39,4: 240.12,5: 233.79,6: 229.57
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 245.04,4: 239.77,5: 234.49,6: 228.16
Time: 18/12:42:3 Arduino 0: 0: 261.56,1: 256.29,2: 249.96,3: 245.39,4: 239.41,5: 233.79,6: 228.87
Time: 18/12:42:3 Arduino 0: 0: 260.86,1: 256.64,2: 250.66,3: 244.69,4: 239.77,5: 234.14,6: 228.16
Time: 18/12:42:3 Arduino 0: 0: 262.27,1: 256.29,2: 250.31,3: 245.39,4: 239.06,5: 233.79,6: 228.52
Time: 18/12:42:3 Arduino 0: 0: 261.91,1: 256.29,2: 250.66,3: 245.04,4: 239.77,5: 233.79,6: 228.52
Time: 18/12:42:4 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.39,4: 239.06,5: 234.14,6: 228.16
Time: 18/12:42:4 Arduino 0: 0: 261.91,1: 256.29,2: 249.96,3: 245.04,4: 239.77,5: 233.09,6: 228.52
Time: 18/12:42:4 Arduino 0: 0: 261.21,1: 255.94,2: 250.66,3: 245.04,4: 239.41,5: 233.79,6: 227.46
Time: 18/12:42:4 Arduino 0: 0: 262.27,1: 255.94,2: 249.61,3: 245.04,4: 239.41,5: 233.44,6: 228.16
Time: 18/12:42:4 Arduino 0: 0: 261.21,1: 255.94,2: 250.66,3: 244.34,4: 239.41,5: 233.79,6: 227.46
Time: 18/12:42:4 Arduino 0: 0: 261.56,1: 256.29,2: 250.31,3: 245.04,4: 239.06,5: 233.44,6: 228.16
Time: 18/12:42:4 Arduino 0: 0: 261.56,1: 256.64,2: 250.66,3: 244.69,4: 239.41,5: 233.44,6: 228.16
Time: 18/12:42:4 Arduino 0: 0: 261.56,1: 255.59,2: 250.31,3: 245.04,4: 238.71,5: 233.44,6: 228.16
Time: 18/12:42:4 Arduino 0: 0: 261.21,1: 256.64,2: 250.31,3: 245.04,4: 239.41,5: 233.09,6: 228.16
Time: 18/12:42:4 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.04,4: 239.06,5: 233.79,6: 227.46
Time: 18/12:42:4 Arduino 0: 0: 261.91,1: 256.29,2: 249.96,3: 245.04,4: 239.41,5: 233.09,6: 228.16
