Time: 18/13:33:48 Arduino 0: 
Time: 18/13:33:52 Arduino 0: 0: 263.32,1: 256.99,2: 251.72,3: 246.80,4: 240.12,5: 235.20,6: 228.87
Time: 18/13:33:52 Arduino 0: 0: 262.62,1: 258.05,2: 251.72,3: 246.09,4: 241.17,5: 234.14,6: 229.57
Time: 18/13:33:52 Arduino 0: 0: 265.08,1: 258.75,2: 253.13,3: 247.15,4: 240.82,5: 235.55,6: 228.52
Time: 18/13:33:52 Arduino 0: 0: 267.54,1: 261.56,2: 253.83,3: 248.55,4: 242.23,5: 235.55,6: 230.63
Time: 18/13:33:52 Arduino 0: 0: 270.35,1: 263.67,2: 256.99,3: 249.61,4: 243.63,5: 237.66,6: 230.27
Time: 18/13:33:52 Arduino 0: 0: 272.11,1: 266.13,2: 258.40,3: 252.77,4: 244.69,5: 238.36,6: 232.38
Time: 18/13:33:52 Arduino 0: 0: 275.27,1: 268.59,2: 261.21,3: 253.48,4: 247.50,5: 239.77,6: 233.09
Time: 18/13:33:52 Arduino 0: 0: 278.44,1: 270.70,2: 263.32,3: 256.64,4: 248.20,5: 241.88,6: 235.20
Time: 18/13:33:52 Arduino 0: 0: 280.20,1: 273.87,2: 265.43,3: 258.05,4: 251.37,5: 242.58,6: 236.25
Time: 18/13:33:52 Arduino 0: 0: 282.66,1: 275.27,2: 267.89,3: 260.51,4: 252.07,5: 245.39,6: 236.95
Time: 18/13:33:52 Arduino 0: 0: 285.47,1: 278.44,2: 268.95,3: 262.27,4: 254.88,5: 246.09,6: 239.77
Time: 18/13:33:52 Arduino 0: 0: 287.93,1: 279.84,2: 272.11,3: 263.67,4: 255.94,5: 248.55,6: 239.77
Time: 18/13:33:52 Arduino 0: 0: 289.69,1: 282.30,2: 273.16,3: 266.13,4: 257.70,5: 249.61,6: 242.58
Time: 18/13:33:53 Arduino 0: 0: 292.50,1: 284.77,2: 275.98,3: 267.54,4: 260.16,5: 251.72,6: 243.28
Time: 18/13:33:53 Arduino 0: 0: 295.66,1: 286.88,2: 278.09,3: 270.70,4: 260.86,5: 253.48,6: 245.39
