Time: 19/19:1:6 Arduino 0: 
Time: 19/19:1:10 Arduino 0: 0: 270.70,1: 264.73,2: 259.45,3: 253.83,4: 247.85,5: 243.28,6: 237.30
Time: 19/19:1:10 Arduino 0: 0: 273.52,1: 268.24,2: 261.21,3: 256.29,4: 250.66,5: 243.98,6: 239.77
Time: 19/19:1:10 Arduino 0: 0: 277.03,1: 270.70,2: 265.08,3: 258.40,4: 252.42,5: 247.15,6: 240.12
Time: 19/19:1:10 Arduino 0: 0: 279.49,1: 274.22,2: 266.48,3: 261.21,4: 254.53,5: 247.85,6: 242.93
Time: 19/19:1:10 Arduino 0: 0: 281.95,1: 276.68,2: 269.65,3: 262.97,4: 257.34,5: 250.31,6: 243.98
Time: 19/19:1:10 Arduino 0: 0: 285.12,1: 279.14,2: 271.76,3: 266.13,4: 258.40,5: 252.42,6: 246.09
Time: 19/19:1:10 Arduino 0: 0: 287.58,1: 281.60,2: 274.22,3: 267.54,4: 261.56,5: 253.83,6: 247.85
Time: 19/19:1:10 Arduino 0: 0: 290.04,1: 283.36,2: 277.03,3: 270.35,4: 262.62,5: 256.64,6: 249.26
Time: 19/19:1:10 Arduino 0: 0: 293.20,1: 286.52,2: 278.44,3: 272.46,4: 265.78,5: 257.34,6: 251.72
Time: 19/19:1:10 Arduino 0: 0: 296.37,1: 288.98,2: 281.95,3: 274.57,4: 266.84,5: 260.86,6: 252.07
Time: 19/19:1:10 Arduino 0: 0: 299.53,1: 292.50,2: 284.06,3: 277.73,4: 270.00,5: 261.91,6: 255.23
Time: 19/19:1:10 Arduino 0: 0: 300.94,1: 294.26,2: 287.23,3: 279.14,4: 272.11,5: 264.02,6: 255.94
Time: 19/19:1:11 Arduino 0: 0: 301.29,1: 294.61,2: 287.58,3: 281.60,4: 272.81,5: 265.43,6: 258.40
Time: 19/19:1:11 Arduino 0: 0: 300.94,1: 294.96,2: 288.28,3: 281.60,4: 274.92,5: 266.48,6: 259.10
Time: 19/19:1:11 Arduino 0: 0: 300.23,1: 294.61,2: 288.63,3: 282.66,4: 274.57,5: 267.89,6: 259.80
Time: 19/19:1:11 Arduino 0: 0: 300.23,1: 294.96,2: 287.93,3: 282.30,4: 275.63,5: 266.84,6: 260.86
Time: 19/19:1:11 Arduino 0: 0: 300.59,1: 294.61,2: 288.63,3: 282.66,4: 274.92,5: 268.59,6: 260.51
Time: 19/19:1:11 Arduino 0: 0: 300.23,1: 295.66,2: 288.28,3: 283.01,4: 275.63,5: 267.89,6: 262.27
Time: 19/19:1:11 Arduino 0: 0: 285.12,1: 282.66,2: 280.55,3: 276.33,4: 271.41,5: 265.78,6: 259.10
Time: 19/19:1:11 Arduino 0: 0: 265.43,1: 267.19,2: 266.84,3: 267.19,4: 263.67,5: 259.45,6: 255.94
Time: 19/19:1:11 Arduino 0: 0: 263.32,1: 261.56,2: 260.16,3: 258.75,4: 257.34,5: 254.18,6: 250.31
Time: 19/19:1:11 Arduino 0: 0: 262.97,1: 259.80,2: 256.64,3: 254.88,4: 251.37,5: 249.61,6: 246.45
Time: 19/19:1:11 Arduino 0: 0: 263.32,1: 259.45,2: 255.23,3: 251.72,4: 249.61,5: 245.39,6: 243.28
Time: 19/19:1:11 Arduino 0: 0: 263.32,1: 259.10,2: 255.23,3: 251.37,4: 247.15,5: 244.69,6: 240.82
Time: 19/19:1:11 Arduino 0: 0: 262.97,1: 259.45,2: 254.18,3: 250.66,4: 247.15,5: 242.58,6: 240.47
Time: 19/19:1:12 Arduino 0: 0: 262.62,1: 259.10,2: 254.88,3: 249.96,4: 246.09,5: 242.58,6: 238.36
Time: 19/19:1:12 Arduino 0: 0: 263.32,1: 259.45,2: 254.18,3: 251.02,4: 246.09,5: 241.52,6: 238.71
Time: 19/19:1:12 Arduino 0: 0: 263.32,1: 259.45,2: 254.88,3: 249.96,4: 246.45,5: 241.88,6: 237.66
Time: 19/19:1:12 Arduino 0: 0: 263.32,1: 259.10,2: 254.53,3: 251.02,4: 245.39,5: 241.88,6: 237.66
Time: 19/19:1:12 Arduino 0: 0: 262.62,1: 259.45,2: 254.53,3: 249.96,4: 246.45,5: 241.17,6: 237.30
Time: 19/19:1:12 Arduino 0: 0: 262.97,1: 258.75,2: 254.53,3: 250.66,4: 245.39,5: 241.88,6: 236.95
Time: 19/19:1:12 Arduino 0: 0: 263.32,1: 259.10,2: 253.83,3: 249.96,4: 245.74,5: 240.82,6: 237.66
Time: 19/19:1:12 Arduino 0: 0: 263.32,1: 258.75,2: 254.88,3: 249.96,4: 245.39,5: 241.52,6: 236.25
