Time: 19/19:5:36 Arduino 0: 
Time: 19/19:5:36 Arduino 0: 0: 271.41,1: 252.77,2: 240.47,3: 231.33,4: 222.89,5: 216.21,6: 212.34
Time: 19/19:5:36 Arduino 0: 0: 271.76,1: 263.67,2: 254.88,3: 244.34,4: 235.90,5: 227.81,6: 220.08
Time: 19/19:5:36 Arduino 0: 0: 274.22,1: 266.84,2: 259.10,3: 252.42,4: 242.58,5: 235.20,6: 227.81
Time: 19/19:5:36 Arduino 0: 0: 277.73,1: 271.41,2: 263.67,3: 256.29,4: 249.61,5: 240.12,6: 233.09
Time: 19/19:5:36 Arduino 0: 0: 280.55,1: 272.81,2: 266.84,3: 260.51,4: 251.72,5: 245.39,6: 237.30
Time: 19/19:5:36 Arduino 0: 0: 283.01,1: 276.33,2: 268.59,3: 262.27,4: 255.94,5: 246.80,6: 240.82
Time: 19/19:5:36 Arduino 0: 0: 285.82,1: 278.09,2: 272.11,3: 265.08,4: 258.05,5: 251.72,6: 243.28
Time: 19/19:5:36 Arduino 0: 0: 288.28,1: 281.95,2: 273.52,3: 267.19,4: 259.45,5: 249.96,6: 243.63
Time: 19/19:5:36 Arduino 0: 0: 291.45,1: 282.30,2: 274.22,3: 265.43,4: 258.05,5: 250.66,6: 241.17
Time: 19/19:5:36 Arduino 0: 0: 293.55,1: 286.17,2: 277.38,3: 271.41,4: 262.97,5: 255.59,6: 249.26
Time: 19/19:5:36 Arduino 0: 0: 297.07,1: 291.09,2: 283.36,3: 275.63,4: 268.59,5: 259.80,6: 252.07
Time: 19/19:5:36 Arduino 0: 0: 299.88,1: 293.20,2: 285.47,3: 279.14,4: 269.65,5: 262.62,6: 254.53
Time: 19/19:5:37 Arduino 0: 0: 301.29,1: 294.96,2: 287.23,3: 280.20,4: 273.16,5: 263.67,6: 256.64
Time: 19/19:5:37 Arduino 0: 0: 300.23,1: 294.26,2: 288.28,3: 281.60,4: 273.16,5: 266.48,6: 257.34
Time: 19/19:5:37 Arduino 0: 0: 300.23,1: 295.31,2: 287.58,3: 282.30,4: 274.92,5: 265.78,6: 260.16
Time: 19/19:5:37 Arduino 0: 0: 300.23,1: 294.26,2: 288.63,3: 281.60,4: 274.22,5: 267.19,6: 258.75
Time: 19/19:5:37 Arduino 0: 0: 299.88,1: 294.96,2: 287.58,3: 282.30,4: 274.57,5: 266.48,6: 260.51
Time: 19/19:5:37 Arduino 0: 0: 285.12,1: 281.60,2: 279.49,3: 275.27,4: 270.70,5: 264.02,6: 256.99
Time: 19/19:5:37 Arduino 0: 0: 265.08,1: 266.48,2: 266.13,3: 266.13,4: 262.62,5: 258.40,6: 254.18
Time: 19/19:5:37 Arduino 0: 0: 262.97,1: 261.21,2: 259.10,3: 257.70,4: 256.29,5: 252.07,6: 248.91
Time: 19/19:5:37 Arduino 0: 0: 262.62,1: 259.10,2: 256.29,3: 253.83,4: 250.31,5: 248.55,6: 244.69
Time: 19/19:5:37 Arduino 0: 0: 262.62,1: 259.10,2: 254.18,3: 251.37,4: 248.55,5: 243.98,6: 242.58
