Time: 18/13:38:15 Arduino 0: 
Time: 18/13:38:15 Arduino 0: 0: 262.97,1: 244.34,2: 232.73,3: 224.65,4: 216.91,5: 211.64,6: 207.77
Time: 18/13:38:16 Arduino 0: 0: 262.97,1: 254.53,2: 244.69,3: 235.90,4: 226.05,5: 219.02,6: 213.05
Time: 18/13:38:16 Arduino 0: 0: 263.32,1: 255.94,2: 248.20,3: 240.47,4: 232.73,5: 223.59,6: 217.62
Time: 18/13:38:16 Arduino 0: 0: 263.32,1: 255.94,2: 249.96,3: 243.63,4: 235.55,5: 228.52,6: 220.78
Time: 18/13:38:16 Arduino 0: 0: 262.97,1: 256.99,2: 249.96,3: 244.34,4: 238.01,5: 229.92,6: 223.95
Time: 18/13:38:16 Arduino 0: 0: 262.97,1: 257.34,2: 251.37,3: 245.04,4: 238.71,5: 232.03,6: 224.65
Time: 18/13:38:16 Arduino 0: 0: 263.32,1: 257.34,2: 250.66,3: 245.74,4: 239.41,5: 232.38,6: 226.76
Time: 18/13:38:16 Arduino 0: 0: 263.32,1: 257.34,2: 251.37,3: 245.04,4: 239.77,5: 233.44,6: 226.41
Time: 18/13:38:16 Arduino 0: 0: 262.27,1: 257.34,2: 251.37,3: 246.09,4: 239.41,5: 233.44,6: 227.81
Time: 18/13:38:16 Arduino 0: 0: 263.67,1: 258.40,2: 252.07,3: 245.74,4: 240.82,5: 233.79,6: 228.16
Time: 18/13:38:16 Arduino 0: 0: 264.02,1: 256.99,2: 251.72,3: 246.80,4: 239.77,5: 234.49,6: 228.52
Time: 18/13:38:16 Arduino 0: 0: 263.32,1: 259.10,2: 252.42,3: 246.45,4: 241.17,5: 233.79,6: 228.87
Time: 18/13:38:16 Arduino 0: 0: 267.54,1: 261.91,2: 255.59,3: 248.91,4: 241.88,5: 235.90,6: 228.87
Time: 18/13:38:16 Arduino 0: 0: 274.57,1: 267.54,2: 258.75,3: 252.42,4: 245.39,5: 237.30,6: 231.68
Time: 18/13:38:17 Arduino 0: 0: 280.90,1: 272.11,2: 263.67,3: 255.23,4: 247.50,5: 240.47,6: 232.38
Time: 18/13:38:17 Arduino 0: 0: 286.17,1: 277.38,2: 267.89,3: 260.16,4: 251.02,5: 243.28,6: 235.90
Time: 18/13:38:17 Arduino 0: 0: 291.09,1: 282.66,2: 273.16,3: 263.67,4: 255.94,5: 246.45,6: 238.01
Time: 18/13:38:17 Arduino 0: 0: 297.42,1: 287.93,2: 277.73,3: 269.30,4: 258.75,5: 250.31,6: 241.88
Time: 18/13:38:17 Arduino 0: 0: 303.75,1: 293.91,2: 283.01,3: 273.16,4: 264.02,5: 253.48,6: 245.04
Time: 18/13:38:17 Arduino 0: 0: 308.67,1: 299.53,2: 288.28,3: 278.79,4: 267.54,5: 258.05,6: 248.20
Time: 18/13:38:17 Arduino 0: 0: 314.30,1: 304.80,2: 292.85,3: 283.71,4: 272.81,5: 261.21,6: 252.77
Time: 18/13:38:17 Arduino 0: 0: 319.57,1: 309.38,2: 299.18,3: 288.28,4: 276.68,5: 266.13,6: 254.88
Time: 18/13:38:17 Arduino 0: 0: 325.20,1: 315.00,2: 303.40,3: 293.91,4: 281.60,5: 269.65,6: 259.45
Time: 18/13:38:17 Arduino 0: 0: 329.77,1: 320.27,2: 309.73,3: 298.13,4: 286.17,5: 274.22,6: 262.27
Time: 18/13:38:17 Arduino 0: 0: 331.88,1: 323.09,2: 312.54,3: 302.34,4: 288.98,5: 277.73,6: 266.84
Time: 18/13:38:17 Arduino 0: 0: 332.58,1: 324.14,2: 314.65,3: 304.10,4: 293.20,5: 280.55,6: 269.30
Time: 18/13:38:17 Arduino 0: 0: 331.88,1: 323.79,2: 315.35,3: 306.21,4: 294.26,5: 283.36,6: 271.76
Time: 18/13:38:17 Arduino 0: 0: 331.88,1: 324.84,2: 315.35,3: 306.56,4: 296.37,5: 283.71,6: 274.22
Time: 18/13:38:18 Arduino 0: 0: 333.28,1: 323.79,2: 316.05,3: 306.91,4: 296.37,5: 285.82,6: 273.87
Time: 18/13:38:18 Arduino 0: 0: 312.89,1: 309.38,2: 305.16,3: 300.94,4: 292.50,5: 282.66,6: 273.87
Time: 18/13:38:18 Arduino 0: 0: 288.28,1: 288.98,2: 289.69,3: 286.88,4: 283.36,5: 276.33,6: 267.54
Time: 18/13:38:18 Arduino 0: 0: 266.13,1: 269.30,2: 270.35,3: 271.41,4: 269.30,5: 265.08,6: 260.86
Time: 18/13:38:18 Arduino 0: 0: 262.62,1: 261.91,2: 260.51,3: 259.10,4: 258.40,5: 255.59,6: 252.07
Time: 18/13:38:18 Arduino 0: 0: 262.62,1: 259.10,2: 255.94,3: 253.48,4: 250.31,5: 248.55,6: 245.74
Time: 18/13:38:18 Arduino 0: 0: 262.62,1: 258.40,2: 253.83,3: 249.96,4: 247.15,5: 242.93,6: 241.17
Time: 18/13:38:18 Arduino 0: 0: 262.97,1: 257.70,2: 253.48,3: 248.91,4: 244.34,5: 241.17,6: 237.30
Time: 18/13:38:18 Arduino 0: 0: 263.32,1: 258.05,2: 252.07,3: 248.20,4: 243.63,5: 238.71,6: 235.90
Time: 18/13:38:18 Arduino 0: 0: 262.62,1: 257.70,2: 252.77,3: 247.15,4: 242.93,5: 238.71,6: 233.44
Time: 18/13:38:18 Arduino 0: 0: 264.73,1: 258.40,2: 251.72,3: 247.85,4: 242.58,5: 237.66,6: 233.79
Time: 18/13:38:18 Arduino 0: 0: 262.97,1: 258.40,2: 252.77,3: 247.15,4: 242.93,5: 237.66,6: 232.03
Time: 18/13:38:18 Arduino 0: 0: 262.62,1: 258.05,2: 252.42,3: 247.85,4: 241.52,5: 237.30,6: 232.73
Time: 18/13:38:19 Arduino 0: 0: 262.97,1: 258.05,2: 252.77,3: 247.15,4: 242.58,5: 236.60,6: 232.38
Time: 18/13:38:19 Arduino 0: 0: 263.32,1: 257.70,2: 252.77,3: 247.50,4: 241.52,5: 236.95,6: 231.68
Time: 18/13:38:19 Arduino 0: 0: 263.32,1: 257.70,2: 251.72,3: 247.15,4: 241.88,5: 235.55,6: 231.68
Time: 18/13:38:19 Arduino 0: 0: 262.97,1: 257.70,2: 252.77,3: 247.15,4: 241.52,5: 236.95,6: 230.27
Time: 18/13:38:19 Arduino 0: 0: 263.32,1: 258.05,2: 251.72,3: 247.50,4: 241.88,5: 235.90,6: 231.68
Time: 18/13:38:19 Arduino 0: 0: 262.97,1: 258.05,2: 252.77,3: 246.45,4: 241.52,5: 236.25,6: 230.27
Time: 18/13:38:19 Arduino 0: 0: 262.97,1: 257.70,2: 252.07,3: 247.15,4: 241.17,5: 236.25,6: 230.98
Time: 18/13:38:19 Arduino 0: 0: 262.62,1: 258.05,2: 252.42,3: 246.45,4: 241.88,5: 235.90,6: 230.63
Time: 18/13:38:19 Arduino 0: 0: 263.32,1: 257.70,2: 252.07,3: 247.15,4: 240.82,5: 235.90,6: 230.63
Time: 18/13:38:19 Arduino 0: 0: 263.67,1: 258.40,2: 252.07,3: 246.80,4: 241.88,5: 235.20,6: 230.63
Time: 18/13:38:19 Arduino 0: 0: 262.62,1: 257.70,2: 252.42,3: 247.15,4: 241.17,5: 236.25,6: 229.92
Time: 18/13:38:19 Arduino 0: 0: 262.97,1: 257.70,2: 251.72,3: 247.15,4: 241.88,5: 235.20,6: 230.98
Time: 18/13:38:19 Arduino 0: 0: 263.32,1: 258.40,2: 252.77,3: 246.80,4: 241.17,5: 236.25,6: 229.57
Time: 18/13:38:19 Arduino 0: 0: 263.32,1: 257.70,2: 251.37,3: 247.50,4: 241.17,5: 235.55,6: 230.63
Time: 18/13:38:20 Arduino 0: 0: 262.62,1: 257.70,2: 252.42,3: 245.74,4: 241.52,5: 235.55,6: 229.57
Time: 18/13:38:20 Arduino 0: 0: 263.32,1: 257.70,2: 251.72,3: 246.80,4: 240.47,5: 235.55,6: 230.27
Time: 18/13:38:20 Arduino 0: 0: 262.97,1: 258.40,2: 252.42,3: 246.45,4: 241.52,5: 235.20,6: 230.27
Time: 18/13:38:20 Arduino 0: 0: 263.32,1: 257.70,2: 252.42,3: 247.15,4: 240.82,5: 235.90,6: 229.92
Time: 18/13:38:20 Arduino 0: 0: 262.97,1: 258.40,2: 252.07,3: 246.80,4: 241.52,5: 235.20,6: 230.63
Time: 18/13:38:20 Arduino 0: 0: 268.24,1: 261.91,2: 255.23,3: 249.26,4: 242.58,5: 236.95,6: 230.27
Time: 18/13:38:20 Arduino 0: 0: 274.92,1: 267.54,2: 258.75,3: 252.77,4: 245.39,5: 238.01,6: 232.73
