Time: 18/13:35:46 Arduino 0: 2
Time: 18/13:35:46 Arduino 0: 0: 262.62,1: 245.39,2: 234.14,3: 226.05,4: 219.02,5: 213.40,6: 209.88
Time: 18/13:35:47 Arduino 0: 0: 262.62,1: 254.88,2: 245.74,3: 236.25,4: 228.87,5: 221.13,6: 215.51
Time: 18/13:35:47 Arduino 0: 0: 262.62,1: 255.23,2: 248.55,3: 241.88,4: 233.09,5: 226.41,6: 219.73
Time: 18/13:35:47 Arduino 0: 0: 261.91,1: 256.64,2: 249.61,3: 243.28,4: 236.95,5: 228.87,6: 223.24
Time: 18/13:35:47 Arduino 0: 0: 262.97,1: 256.29,2: 250.66,3: 244.69,4: 238.01,5: 232.03,6: 224.65
Time: 18/13:35:47 Arduino 0: 0: 262.62,1: 257.34,2: 250.66,3: 245.39,4: 239.41,5: 232.38,6: 227.11
Time: 18/13:35:47 Arduino 0: 0: 262.97,1: 256.99,2: 251.72,3: 245.04,4: 239.77,5: 233.79,6: 226.41
Time: 18/13:35:47 Arduino 0: 0: 262.62,1: 257.70,2: 251.02,3: 246.45,4: 240.12,5: 233.79,6: 228.52
Time: 18/13:35:47 Arduino 0: 0: 262.97,1: 257.70,2: 251.72,3: 245.39,4: 240.47,5: 234.49,6: 228.16
Time: 18/13:35:47 Arduino 0: 0: 262.97,1: 257.34,2: 251.37,3: 246.45,4: 239.41,5: 234.49,6: 228.87
Time: 18/13:35:47 Arduino 0: 0: 262.97,1: 257.34,2: 251.37,3: 245.74,4: 241.17,5: 234.14,6: 228.87
Time: 18/13:35:47 Arduino 0: 0: 262.62,1: 257.34,2: 251.72,3: 246.45,4: 240.12,5: 235.20,6: 228.87
Time: 18/13:35:47 Arduino 0: 0: 263.32,1: 257.70,2: 251.72,3: 246.45,4: 240.82,5: 234.14,6: 229.57
Time: 18/13:35:47 Arduino 0: 0: 262.62,1: 256.64,2: 251.72,3: 246.09,4: 240.47,5: 235.20,6: 228.52
Time: 18/13:35:48 Arduino 0: 0: 263.67,1: 258.40,2: 251.72,3: 246.80,4: 241.17,5: 234.49,6: 229.92
Time: 18/13:35:48 Arduino 0: 0: 269.65,1: 262.62,2: 255.59,3: 248.20,4: 242.58,5: 236.25,6: 229.57
Time: 18/13:35:48 Arduino 0: 0: 275.63,1: 267.89,2: 259.10,3: 252.77,4: 244.69,5: 238.01,6: 232.03
Time: 18/13:35:48 Arduino 0: 0: 281.25,1: 273.16,2: 264.73,3: 255.94,4: 248.91,5: 240.82,6: 233.79
Time: 18/13:35:48 Arduino 0: 0: 286.52,1: 278.79,2: 269.30,3: 261.21,4: 251.72,5: 244.34,6: 236.60
Time: 18/13:35:48 Arduino 0: 0: 292.50,1: 284.06,2: 274.57,3: 265.08,4: 256.64,5: 247.15,6: 239.77
Time: 18/13:35:48 Arduino 0: 0: 299.18,1: 288.63,2: 279.49,3: 270.35,4: 259.80,5: 251.72,6: 242.58
Time: 18/13:35:48 Arduino 0: 0: 304.10,1: 294.61,2: 283.71,3: 274.57,4: 264.73,5: 254.53,6: 246.45
Time: 18/13:35:48 Arduino 0: 0: 310.08,1: 300.23,2: 289.69,3: 279.49,4: 268.95,5: 259.10,6: 248.91
Time: 18/13:35:48 Arduino 0: 0: 315.35,1: 306.56,2: 294.61,3: 285.12,4: 273.87,5: 262.62,6: 253.83
Time: 18/13:35:48 Arduino 0: 0: 321.33,1: 310.78,2: 300.23,3: 288.98,4: 278.44,5: 267.54,6: 256.29
Time: 18/13:35:48 Arduino 0: 0: 325.55,1: 317.11,2: 305.51,3: 294.96,4: 282.30,5: 271.41,6: 260.86
